Id,Label
523,hogares
524,salud
525,exito
526,lactancia
527,bosa
528,primer
529,ciclovia
530,jueves
531,4
532,tranvia
533,taxistas
534,rodada
535,representante
536,consejo
537,representantes
538,malla
539,biciusuarios
540,ciclorruta
541,censo
542,paso
543,desnivel
544,afectados
545,localidad
546,prado
547,plantas
548,exposicion
549,logro
550,denuncia
551,delitos
552,proyecto
553,articulo
554,parqueadero
555,propiedad
556,horizontal
557,trabajos
558,puente
559,seleccion
560,dias
561,orientacion
562,compartido
563,autoridades
564,sujetos
565,duran
566,ciudadania
567,comerciantes
568,fenalco
569,aplicacion
570,eventos
571,portal
572,lider
573,idpac
574,usme
575,taxis
576,94
577,tunjuelo
578,vientos
579,banda
580,alucinogenos
581,ritmo
582,intersecciones
583,parques
584,uaesp
585,100
586,ilegal
587,creditos
588,periodo
589,villegas
590,pasaje
591,vendedores
592,informales
593,contable
594,cgn
595,distrito
596,cometas
597,cometa
598,codensa
599,cra
600,orquideas
601,familias
602,macromedidores
603,cruces
604,panfletos
605,residenciales
606,milton
607,oriente
608,transmicable
609,bolivar
610,licor
611,botellas
612,adulterado
613,operativo
614,estrategia
615,ica
616,tramites
617,elevados
618,elevado
619,carga
620,celulares
621,celular
622,normas
623,carril
624,marcha
625,derechos
626,zoonosis
627,alternativas
628,quebrada
629,delicias
630,proceso
631,oficina
632,campana
633,jefrey
634,podra
635,perros
636,vis
637,alumbrado
638,fleteo
639,emergencia
640,kit
641,sabemos
642,multa
643,metropolitana
644,corferias
645,braille
646,gustavo
647,bejarano
648,rejillas
649,supercade
650,americas
651,demolicion
652,cuidado
653,asentamientos
654,ex
655,siniestros
656,embriaguez
657,mejoras
658,fachadas
659,realidad
660,aumentada
661,reconocimiento
662,patrulleros
663,mundial
664,encontraban
665,mantenimiento
666,regionales
667,gobiernos
668,twitter
669,serviciudadanofacebook
670,plaza
671,80
672,foro
673,legalizacion
674,urbano
675,vagones
676,toberin
677,serie
678,vivian
679,voluntarios
680,operacion
681,talleres
682,ciclovias
683,recreativas
684,kmcarril
685,iniciativas
686,organizaciones
687,indicador
688,sitp
689,auxilio
690,eeb
691,octubre
692,riesgo
693,redes
694,facebook
695,educacion
696,mejoramiento
697,viales
698,caracteristicas
699,fisicas
700,presupuesto
701,comunidad
702,habitat
703,puentes
704,democratizacion
705,operativos
706,establecimientos
707,navidad
708,minutos
709,dosis
710,compradores
711,territorial
712,prorroga
713,limpiemos
714,carlos
715,mama
716,suenos
717,realmente
718,encontraras
719,procesos
720,campamento
721,impuestos
722,escolares
723,retiro
724,personeria
725,equipos
726,paz
727,polvora
728,sumapaz
729,sobrecostos
730,presenta
731,equipo
